num_tables,hash_size,build_time,avg_query_time_ms,accuracy_at_50,total_memory_mb,avg_bucket_size,total_buckets
5,8,0.37700819969177246,9.342730045318604,7.9,117.47360229492188,58.59375,1280
5,10,0.48587703704833984,0.39264440536499023,3.8,117.47360229492188,14.65702560093805,5117
5,12,0.5724420547485352,0.31332969665527344,2.7,117.47360229492188,3.9953121670573193,18772
5,14,0.5646588802337646,0.3972005844116211,2.6,117.47360229492188,1.742119811386495,43051
5,16,0.5958151817321777,0.4137098789215088,2.3,117.47360229492188,1.1888533113527566,63086
10,8,0.7368519306182861,12.226009368896484,12.8,117.75970458984375,58.59375,2560
10,10,0.8852238655090332,3.644535541534424,5.7,117.75970458984375,14.65845793022574,10233
10,12,0.9061450958251953,0.22971510887145996,2.6,117.75970458984375,4.031499449028408,37207
10,14,1.0596568584442139,0.44013023376464844,2.5,117.75970458984375,1.7203807776121114,87190
10,16,1.1281709671020508,0.45850515365600586,2.5,117.75970458984375,1.1893623432023979,126118
15,8,1.0325589179992676,11.281986236572266,15.2,118.04580688476562,58.59375,3840
15,10,1.2014179229736328,7.142375707626343,7.9,118.04580688476562,14.66371220020855,15344
15,12,1.3875858783721924,0.43400049209594727,3.5999999999999996,118.04580688476562,4.013198965486489,56065
15,14,1.4851353168487549,0.44270873069763184,2.4,118.04580688476562,1.7242964870332904,130488
15,16,1.6838288307189941,0.5196058750152588,2.8000000000000003,118.04580688476562,1.1936402845638439,188499
20,8,1.3157029151916504,16.384220123291016,18.7,118.3319091796875,58.59375,5120
20,10,1.5198988914489746,7.501325607299805,7.8,118.3319091796875,14.660606949127693,20463
20,12,1.8408498764038086,0.5624055862426758,4.0,118.3319091796875,4.005286978812032,74901
20,14,2.0105600357055664,0.4064059257507324,2.5,118.3319091796875,1.7005935071339897,176409
20,16,2.176212787628174,0.5471491813659668,2.7,118.3319091796875,1.1934218587147642,251378
25,8,1.6211190223693848,18.241560459136963,24.3,118.61801147460938,58.59375,6400
25,10,1.9560661315917969,8.93860936164856,9.5,118.61801147460938,14.665623777864685,25570
25,12,2.2689027786254883,0.7238399982452393,4.8,118.61801147460938,4.013743056224513,93429
25,14,2.5392909049987793,0.4128599166870117,2.6,118.61801147460938,1.7107430099040615,219203
25,16,2.7027690410614014,0.5485749244689941,2.6,118.61801147460938,1.1843626234105853,316626
30,8,1.9394400119781494,22.558698654174805,25.7,118.90411376953125,58.59375,7680
30,10,2.2949230670928955,9.453409910202026,10.7,118.90411376953125,14.667057788207686,30681
30,12,2.7143642902374268,1.7910981178283691,5.1,118.90411376953125,4.032619410341429,111590
30,14,3.028327226638794,0.4885292053222656,3.0,118.90411376953125,1.716974005013564,262089
30,16,3.254631996154785,0.6477200984954834,2.8000000000000003,118.90411376953125,1.1905675303131722,377971
