pca_dim,nlist,nprobe,k,label,precision_at_k_macro,recall_at_k_macro
0,256,1,20,0,1.0,0.0035714285714285713
0,256,1,20,1,1.0,0.0035714285714285713
0,256,1,20,2,1.0,0.0035714285714285713
0,256,1,20,3,1.0,0.0035714285714285713
0,256,1,20,4,1.0,0.0035714285714285713
0,256,1,20,5,1.0,0.0035714285714285713
0,256,1,20,6,1.0,0.0035714285714285713
0,256,1,20,7,1.0,0.0035714285714285713
0,256,1,20,8,1.0,0.0035714285714285713
0,256,1,20,9,1.0,0.0035714285714285713
0,256,4,20,0,1.0,0.0035714285714285713
0,256,4,20,1,1.0,0.0035714285714285713
0,256,4,20,2,1.0,0.0035714285714285713
0,256,4,20,3,1.0,0.0035714285714285713
0,256,4,20,4,1.0,0.0035714285714285713
0,256,4,20,5,1.0,0.0035714285714285713
0,256,4,20,6,1.0,0.0035714285714285713
0,256,4,20,7,1.0,0.0035714285714285713
0,256,4,20,8,1.0,0.0035714285714285713
0,256,4,20,9,1.0,0.0035714285714285713
0,256,8,20,0,1.0,0.0035714285714285713
0,256,8,20,1,1.0,0.0035714285714285713
0,256,8,20,2,1.0,0.0035714285714285713
0,256,8,20,3,1.0,0.0035714285714285713
0,256,8,20,4,1.0,0.0035714285714285713
0,256,8,20,5,1.0,0.0035714285714285713
0,256,8,20,6,1.0,0.0035714285714285713
0,256,8,20,7,1.0,0.0035714285714285713
0,256,8,20,8,1.0,0.0035714285714285713
0,256,8,20,9,1.0,0.0035714285714285713
0,256,16,20,0,1.0,0.0035714285714285713
0,256,16,20,1,1.0,0.0035714285714285713
0,256,16,20,2,1.0,0.0035714285714285713
0,256,16,20,3,1.0,0.0035714285714285713
0,256,16,20,4,1.0,0.0035714285714285713
0,256,16,20,5,1.0,0.0035714285714285713
0,256,16,20,6,1.0,0.0035714285714285713
0,256,16,20,7,1.0,0.0035714285714285713
0,256,16,20,8,1.0,0.0035714285714285713
0,256,16,20,9,1.0,0.0035714285714285713
0,256,32,20,0,1.0,0.0035714285714285713
0,256,32,20,1,1.0,0.0035714285714285713
0,256,32,20,2,1.0,0.0035714285714285713
0,256,32,20,3,1.0,0.0035714285714285713
0,256,32,20,4,1.0,0.0035714285714285713
0,256,32,20,5,1.0,0.0035714285714285713
0,256,32,20,6,1.0,0.0035714285714285713
0,256,32,20,7,1.0,0.0035714285714285713
0,256,32,20,8,1.0,0.0035714285714285713
0,256,32,20,9,1.0,0.0035714285714285713
0,512,1,20,0,1.0,0.0035714285714285713
0,512,1,20,1,1.0,0.0035714285714285713
0,512,1,20,2,1.0,0.0035714285714285713
0,512,1,20,3,1.0,0.0035714285714285713
0,512,1,20,4,1.0,0.0035714285714285713
0,512,1,20,5,1.0,0.0035714285714285713
0,512,1,20,6,1.0,0.0035714285714285713
0,512,1,20,7,1.0,0.0035714285714285713
0,512,1,20,8,1.0,0.0035714285714285713
0,512,1,20,9,1.0,0.0035714285714285713
0,512,4,20,0,1.0,0.0035714285714285713
0,512,4,20,1,1.0,0.0035714285714285713
0,512,4,20,2,1.0,0.0035714285714285713
0,512,4,20,3,1.0,0.0035714285714285713
0,512,4,20,4,1.0,0.0035714285714285713
0,512,4,20,5,1.0,0.0035714285714285713
0,512,4,20,6,1.0,0.0035714285714285713
0,512,4,20,7,1.0,0.0035714285714285713
0,512,4,20,8,1.0,0.0035714285714285713
0,512,4,20,9,1.0,0.0035714285714285713
0,512,8,20,0,1.0,0.0035714285714285713
0,512,8,20,1,1.0,0.0035714285714285713
0,512,8,20,2,1.0,0.0035714285714285713
0,512,8,20,3,1.0,0.0035714285714285713
0,512,8,20,4,1.0,0.0035714285714285713
0,512,8,20,5,1.0,0.0035714285714285713
0,512,8,20,6,1.0,0.0035714285714285713
0,512,8,20,7,1.0,0.0035714285714285713
0,512,8,20,8,1.0,0.0035714285714285713
0,512,8,20,9,1.0,0.0035714285714285713
0,512,16,20,0,1.0,0.0035714285714285713
0,512,16,20,1,1.0,0.0035714285714285713
0,512,16,20,2,1.0,0.0035714285714285713
0,512,16,20,3,1.0,0.0035714285714285713
0,512,16,20,4,1.0,0.0035714285714285713
0,512,16,20,5,1.0,0.0035714285714285713
0,512,16,20,6,1.0,0.0035714285714285713
0,512,16,20,7,1.0,0.0035714285714285713
0,512,16,20,8,1.0,0.0035714285714285713
0,512,16,20,9,1.0,0.0035714285714285713
0,512,32,20,0,1.0,0.0035714285714285713
0,512,32,20,1,1.0,0.0035714285714285713
0,512,32,20,2,1.0,0.0035714285714285713
0,512,32,20,3,1.0,0.0035714285714285713
0,512,32,20,4,1.0,0.0035714285714285713
0,512,32,20,5,1.0,0.0035714285714285713
0,512,32,20,6,1.0,0.0035714285714285713
0,512,32,20,7,1.0,0.0035714285714285713
0,512,32,20,8,1.0,0.0035714285714285713
0,512,32,20,9,1.0,0.0035714285714285713
0,1024,1,20,0,1.0,0.0035714285714285713
0,1024,1,20,1,1.0,0.0035714285714285713
0,1024,1,20,2,1.0,0.0035714285714285713
0,1024,1,20,3,1.0,0.0035714285714285713
0,1024,1,20,4,1.0,0.0035714285714285713
0,1024,1,20,5,1.0,0.0035714285714285713
0,1024,1,20,6,1.0,0.0035714285714285713
0,1024,1,20,7,1.0,0.0035714285714285713
0,1024,1,20,8,1.0,0.0035714285714285713
0,1024,1,20,9,1.0,0.0035714285714285713
0,1024,4,20,0,1.0,0.0035714285714285713
0,1024,4,20,1,1.0,0.0035714285714285713
0,1024,4,20,2,1.0,0.0035714285714285713
0,1024,4,20,3,1.0,0.0035714285714285713
0,1024,4,20,4,1.0,0.0035714285714285713
0,1024,4,20,5,1.0,0.0035714285714285713
0,1024,4,20,6,1.0,0.0035714285714285713
0,1024,4,20,7,1.0,0.0035714285714285713
0,1024,4,20,8,1.0,0.0035714285714285713
0,1024,4,20,9,1.0,0.0035714285714285713
0,1024,8,20,0,1.0,0.0035714285714285713
0,1024,8,20,1,1.0,0.0035714285714285713
0,1024,8,20,2,1.0,0.0035714285714285713
0,1024,8,20,3,1.0,0.0035714285714285713
0,1024,8,20,4,1.0,0.0035714285714285713
0,1024,8,20,5,1.0,0.0035714285714285713
0,1024,8,20,6,1.0,0.0035714285714285713
0,1024,8,20,7,1.0,0.0035714285714285713
0,1024,8,20,8,1.0,0.0035714285714285713
0,1024,8,20,9,1.0,0.0035714285714285713
0,1024,16,20,0,1.0,0.0035714285714285713
0,1024,16,20,1,1.0,0.0035714285714285713
0,1024,16,20,2,1.0,0.0035714285714285713
0,1024,16,20,3,1.0,0.0035714285714285713
0,1024,16,20,4,1.0,0.0035714285714285713
0,1024,16,20,5,1.0,0.0035714285714285713
0,1024,16,20,6,1.0,0.0035714285714285713
0,1024,16,20,7,1.0,0.0035714285714285713
0,1024,16,20,8,1.0,0.0035714285714285713
