num_tables,hash_size,build_time,avg_query_time_ms,recall_at_10,total_memory_mb,avg_bucket_size,total_buckets
5,8,1.601271152496338,32.33659219741821,100.0,548.2101440429688,372.7369542066028,939
5,10,1.8892321586608887,25.563687801361084,100.0,548.2101440429688,158.8021778584392,2204
5,12,2.1514580249786377,23.59528398513794,100.0,548.2101440429688,98.53603603603604,3552
5,14,2.315915584564209,20.435160160064697,100.0,548.2101440429688,54.67895641306046,6401
5,16,2.5331897735595703,12.498018741607666,100.0,548.2101440429688,30.785469258509984,11369
10,8,3.2495880126953125,40.846675872802734,100.0,549.5452880859375,386.7403314917127,1810
10,10,3.65012788772583,32.83703374862671,100.0,549.5452880859375,168.8374336710082,4146
10,12,4.173588991165161,35.302387714385986,100.0,549.5452880859375,85.71078731480348,8167
10,14,4.619466066360474,26.9580078125,100.0,549.5452880859375,54.12929167955459,12932
10,16,4.970824956893921,29.346767902374268,100.0,549.5452880859375,36.14022406938923,19369
15,8,4.863387107849121,56.74613428115845,100.0,550.8804321289062,379.746835443038,2765
15,10,5.509965181350708,36.17651987075806,100.0,550.8804321289062,162.8411910669975,6448
15,12,6.127980947494507,31.48806762695312,100.0,550.8804321289062,83.97984483723906,12503
15,14,6.892738103866577,29.3540940284729,100.0,550.8804321289062,44.9486301369863,23360
15,16,7.4681901931762695,26.059346199035645,100.0,550.8804321289062,33.66679492112351,31188
20,8,6.211688995361328,60.79810428619385,100.0,552.215576171875,403.92383150605883,3466
20,10,7.278347969055176,47.209914207458496,100.0,552.215576171875,152.87180607119458,9158
20,12,8.153955936431885,34.91639423370361,100.0,552.215576171875,96.81211534472028,14461
20,14,9.08191990852356,32.17602205276489,100.0,552.215576171875,52.05041454437298,26897
20,16,10.16017198562622,30.429419994354248,100.0,552.215576171875,34.78088045314519,40252
25,8,7.779665231704712,60.750815868377686,100.0,553.5507202148438,384.27755819060167,4554
25,10,9.110885858535767,41.44916248321533,100.0,553.5507202148438,172.60084820988263,10139
25,12,10.256051063537598,34.64872598648071,100.0,553.5507202148438,85.38251366120218,20496
25,14,11.435065746307373,37.57255220413208,100.0,553.5507202148438,54.75251861585633,31962
25,16,12.960294961929321,36.29227018356323,100.0,553.5507202148438,36.36439198736597,48124
30,8,9.397926330566406,82.3366117477417,100.0,554.8858642578125,401.2227741688957,5234
30,10,11.053006172180176,45.686453342437744,100.0,554.8858642578125,161.24078624078624,13024
30,12,12.38079309463501,37.70487022399902,100.0,554.8858642578125,90.11328527291452,23304
30,14,14.290194988250732,38.22199201583862,100.0,554.8858642578125,53.25353755642339,39434
30,16,15.365878105163574,33.867756366729736,100.0,554.8858642578125,35.564286682021404,59048
