num_tables,hash_size,build_time,avg_query_time_ms,recall_at_10,total_memory_mb,avg_bucket_size,total_buckets
5,8,1.5422430038452148,24.622503757476807,100.0,548.2101440429688,388.8888888888889,900
5,10,1.7664456367492676,22.808692455291748,100.0,548.2101440429688,209.0800477897252,1674
5,12,2.062412738800049,17.192444324493408,100.0,548.2101440429688,99.88584474885845,3504
5,14,2.3257548809051514,14.071544170379639,100.0,548.2101440429688,41.38094112083235,8458
5,16,2.4531760215759277,9.815768241882324,100.0,548.2101440429688,32.335550628233555,10824
10,8,3.0475738048553467,33.66246032714844,100.0,549.5452880859375,372.7369542066028,1878
10,10,3.4464187622070312,30.272476196289062,100.0,549.5452880859375,163.85767790262173,4272
10,12,3.907869815826416,28.052345752716064,100.0,549.5452880859375,93.55787222667736,7482
10,14,4.346922159194946,21.476426124572754,100.0,549.5452880859375,48.59086491739553,14406
10,16,4.813610076904297,17.2180814743042,100.0,549.5452880859375,33.97068814908279,20606
15,8,4.449982166290283,40.4689998626709,100.0,550.8804321289062,412.8981517892253,2543
15,10,5.260824918746948,30.076144218444824,100.0,550.8804321289062,171.5125775890232,6122
15,12,5.861253023147583,24.944457530975342,100.0,550.8804321289062,84.5478701988888,12419
15,14,6.482594013214111,25.405158042907715,100.0,550.8804321289062,53.280560207033034,19707
15,16,7.789028167724609,26.971538066864014,100.0,550.8804321289062,36.15702479338843,29040
20,8,6.1476829051971436,58.560019969940186,100.0,552.215576171875,395.8156629912355,3537
20,10,7.432881116867065,36.62310600280762,100.0,552.215576171875,151.87676285528315,9218
20,12,8.240732908248901,28.525318145751953,100.0,552.215576171875,88.70865543023697,15782
20,14,9.065165042877197,26.018027782440186,100.0,552.215576171875,50.34160373966199,27810
20,16,9.773022890090942,28.779521942138672,100.0,552.215576171875,36.24313969141556,38628
25,8,7.85983681678772,68.19056606292725,100.0,553.5507202148438,385.03850385038504,4545
25,10,9.146744966506958,38.96377611160278,100.0,553.5507202148438,192.4557351809084,9093
25,12,10.27245020866394,32.16833782196045,100.0,553.5507202148438,91.11261519237777,19207
25,14,11.197429895401001,28.166516304016113,100.0,553.5507202148438,50.33798360419963,34765
25,16,12.276853084564209,27.2114577293396,100.0,553.5507202148438,31.607275091661098,55367
30,8,9.523760080337524,59.56639623641968,100.0,554.8858642578125,389.10505836575874,5397
30,10,10.637364864349365,37.032397747039795,100.0,554.8858642578125,170.92625752889467,12286
30,12,11.948242902755737,35.72845411300659,100.0,554.8858642578125,84.69107920632361,24796
30,14,13.659600257873535,27.163782119750977,100.0,554.8858642578125,47.038795806827345,44644
30,16,14.422528982162476,55.595975399017334,100.0,554.8858642578125,35.04438956010947,59924
