Algorithm,Build Time (s),Avg Query Time (ms),QPS,Memory (MB),Recall@1,Recall@10,Recall@50,Accuracy@1,Accuracy@10,Accuracy@50,Tables,Hash Size,Avg Bucket Size
brute_force,0.1938,0.9198,1087.14,546.88,100.00%,100.00%,100.00%,,,,,,
lsh_config_1,1.6048,30.5491,32.73,548.21,100.00%,100.00%,100.00%,100.00%,90.01%,88.92%,5.0,8.0,355.69
lsh_config_2,3.6783,30.8278,32.44,549.55,100.00%,100.00%,100.00%,100.00%,96.35%,95.96%,10.0,10.0,165.45
lsh_config_3,8.3080,32.9079,30.39,552.22,100.00%,100.00%,100.00%,100.00%,98.42%,98.41%,20.0,12.0,82.40
