Algorithm,Build Time (s),Avg Query Time (ms),QPS,Memory (MB),Recall@1,Recall@10,Recall@50,Accuracy@1,Accuracy@10,Accuracy@50,Tables,Hash Size,Avg Bucket Size
brute_force,0.1988,0.9922,1007.83,546.88,100.00%,100.00%,100.00%,,,,,,
lsh_config_1,1.6201,34.8533,28.69,548.21,100.00%,100.00%,100.00%,100.00%,87.37%,85.78%,5.0,8.0,370.37
lsh_config_2,3.7014,38.2407,26.15,549.55,100.00%,100.00%,100.00%,100.00%,95.04%,94.43%,10.0,10.0,169.90
lsh_config_3,8.2274,35.7114,28.00,552.22,100.00%,100.00%,100.00%,100.00%,98.99%,98.75%,20.0,12.0,89.59
