dimension,pca_time,variance_retained,build_time,query_time_ms,accuracy_at_50
2048,0.0,100.0,2.542598009109497,9.171109199523926,14.91
1024,27.482640981674194,79.35636675682534,2.002096176147461,5.085524320602417,14.84
512,11.200162172317505,54.39335329744047,1.6337542533874512,5.956238508224487,15.67
256,6.032349109649658,36.052650190004165,1.5298840999603271,0.6979799270629883,14.56
128,5.19481086730957,25.40635560493693,1.416633129119873,0.4692399501800537,11.690000000000001
