配置,准确率@50(%),查询时间(ms),提升(%)
"原始LSH (10表,12位)",3.0700000000000003,0.23819923400878906,0.0
"优化v1 (40表,8位,3探针)",6.92,9.120399951934814,3.8499999999999996
"优化v2 (50表,6位,5探针)",14.32,16.69503927230835,11.25
"优化v3 (30表,8位,4探针)",7.449999999999999,8.701930046081543,4.379999999999999
