data_size,bf_build_time,bf_build_time_std,bf_avg_query_time_ms,bf_query_time_std,lsh_build_time,lsh_build_time_std,lsh_avg_query_time_ms,lsh_query_time_std,lsh_recall_at_10,lsh_recall_std,speedup_factor
1000,0.004846236319281161,0.002035260451356051,0.05186680684952686,0.02080210292571828,0.08518920831071834,0.0131628904886355,0.4259549999066318,0.1625543289199051,100.0,0.0,0.12176593034685805
5000,0.016178458308180172,0.005531387943254209,0.10321256840446343,0.0026642200008795934,0.35421443067025393,0.004975395934483112,3.677633681703204,1.1898103365589017,100.0,0.0,0.02806493994167008
10000,0.038903180665026106,0.010363858837137425,0.3625374299008399,0.24729624556427832,0.656626611307729,0.03347540772122976,3.6986181249570413,0.41011526952005084,100.0,0.0,0.09801969753367029
20000,0.10184869434063633,0.02871986798450774,0.427691596657193,0.07500206198687218,1.3859302083340783,0.17033997226113562,12.025714583287481,2.64898696075651,100.0,0.0,0.03556475531620962
30000,0.18234388898902884,0.05352327131080996,0.5974137499773254,0.1013406686270905,1.8605573333528203,0.057181640929538834,19.75897812662879,3.037083928897369,100.0,0.0,0.030235052954089896
40000,0.15822529166083163,0.02724689933559408,0.7705928483240617,0.11926881939460664,2.440236874991873,0.17527062657036763,21.606300694984384,8.307777913676231,100.0,0.0,0.03566519133481025
50000,0.2077172919913816,0.04626025301788467,0.9031753483577631,0.13637386995282097,2.866066596994642,0.038222202703306375,17.83864110999275,0.22624980760390287,100.0,0.0,0.05063027742913822
60000,0.21940994433437785,0.049451833016870755,0.9097034033038653,0.049029245046811665,3.4138160696796453,0.06712473191341183,20.088345693366136,0.7276245389611534,100.0,0.0,0.045285132842187235
70000,0.2864091386824536,0.028676806091527014,1.0821973600347217,0.11346077150899868,3.9442538053457006,0.031823155730452135,24.222331459944446,0.4239386445357537,100.0,0.0,0.04467767117398713
