Algorithm,Build Time (s),Avg Query Time (ms),QPS,Memory (MB),Recall@1,Recall@10,Recall@50,Accuracy@1,Accuracy@10,Accuracy@50,Tables,Hash Size,Avg Bucket Size
brute_force,0.6227,0.7557,1323.36,546.88,100.00%,100.00%,100.00%,,,,,,
lsh_config_1,1.8933,22.0108,45.43,548.21,100.00%,100.00%,100.00%,100.00%,90.85%,89.81%,5.0,8.0,400.46
lsh_config_2,4.5180,20.0846,49.79,549.55,100.00%,100.00%,100.00%,100.00%,97.46%,97.30%,10.0,10.0,178.03
lsh_config_3,13.8811,21.0126,47.59,552.22,100.00%,100.00%,100.00%,100.00%,98.90%,98.92%,20.0,12.0,85.94
