num_tables,hash_size,build_time,avg_query_time_ms,recall_at_10,total_memory_mb,avg_bucket_size,total_buckets
5,8,1.719905138015747,38.95437002182007,100.0,548.2101440429688,372.3404255319149,940
5,10,1.8766379356384277,29.245692253112793,100.0,548.2101440429688,170.1507049100632,2057
5,12,2.132388114929199,26.805339336395264,100.0,548.2101440429688,89.81267641775725,3897
5,14,2.305943250656128,23.297706127166748,100.0,548.2101440429688,55.18763796909492,6342
5,16,2.5476198196411133,15.927377700805662,100.0,548.2101440429688,39.071221254744366,8958
10,8,3.334307909011841,56.8021821975708,100.0,549.5452880859375,398.1797497155859,1758
10,10,3.719647169113159,42.26023578643799,100.0,549.5452880859375,172.0747295968535,4068
10,12,4.046761989593506,30.48636770248413,100.0,549.5452880859375,95.05703422053232,7364
10,14,4.402929067611694,27.218818187713623,100.0,549.5452880859375,50.47227629966112,13869
10,16,4.86314582824707,24.015287399291992,100.0,549.5452880859375,36.190673146520524,19342
15,8,4.651859998703003,53.80381393432617,100.0,550.8804321289062,396.5256797583082,2648
15,10,5.304782867431641,38.34481239318848,100.0,550.8804321289062,178.3893985728848,5886
15,12,6.030416965484619,31.781996250152584,100.0,550.8804321289062,90.15971148892324,11646
15,14,6.587924957275391,30.61246967315674,100.0,550.8804321289062,55.086301872934264,19061
15,16,7.376317977905273,29.170491695404053,100.0,550.8804321289062,28.025409704799017,37466
20,8,6.117177724838257,50.99456024169922,100.0,552.215576171875,398.066533977822,3517
20,10,7.082505941390991,46.85970592498779,100.0,552.215576171875,166.74606955693187,8396
20,12,8.106168985366821,35.35858345031738,100.0,552.215576171875,95.03767564998982,14731
20,14,8.967020034790039,34.77623987197876,100.0,552.215576171875,54.045707226683135,25904
20,16,9.895055770874023,32.46545219421387,100.0,552.215576171875,30.931023816888338,45262
25,8,7.749992847442627,60.30792808532715,100.0,553.5507202148438,397.27582292849036,4405
25,10,8.888302087783813,45.5964937210083,100.0,553.5507202148438,169.44229279628195,10328
25,12,9.941202878952026,33.96963596343994,100.0,553.5507202148438,91.55113784985613,19115
25,14,11.262356996536255,32.25363731384277,100.0,553.5507202148438,52.3513222448247,33428
25,16,12.11199402809143,33.83908796310425,100.0,553.5507202148438,35.216936327779116,49692
30,8,9.347177267074585,63.8648476600647,100.0,554.8858642578125,395.6292388847023,5308
30,10,10.537084817886353,40.674400329589844,100.0,554.8858642578125,158.75415784699123,13228
30,12,11.804354190826416,38.282440185546875,100.0,554.8858642578125,91.13396693138914,23043
30,14,13.406445026397705,32.56340026855469,100.0,554.8858642578125,53.68921613744439,39114
30,16,14.6216459274292,37.13708209991455,100.0,554.8858642578125,34.90865568429277,60157
